sample_id,numeric_recompute,physical_properties,overall
D01-S001-00182,True,True,pass
D01-S001-00183,True,True,pass
D01-S001-00184,True,True,pass
D01-S001-00185,True,True,pass
D01-S001-00186,True,True,pass
D01-S001-00187,True,True,pass
D01-S001-00188,True,True,pass
D01-S001-00189,True,True,pass
D01-S001-00190,True,True,pass
D01-S001-00191,True,True,pass
D01-S001-00192,True,True,pass
D01-S001-00193,True,True,pass
D01-S001-00194,True,True,pass
D01-S001-00195,True,True,pass
D01-S001-00196,True,True,pass
D01-S001-00197,True,True,pass
D01-S001-00198,True,True,pass
D01-S001-00199,True,True,pass
D01-S001-00200,True,True,pass
D01-S001-00201,True,True,pass
D01-S001-00202,True,True,pass
D01-S001-00203,True,True,pass
D01-S001-00204,True,True,pass
D01-S001-00205,True,True,pass
D01-S001-00206,True,True,pass
D01-S001-00207,True,True,pass
D01-S001-00208,True,True,pass
D01-S001-00209,True,True,pass
D01-S001-00210,True,True,pass
D01-S001-00211,True,True,pass
D01-S001-00212,True,True,pass
D01-S001-00213,True,True,pass
D01-S001-00214,True,True,pass
D01-S001-00215,True,True,pass
D01-S001-00216,True,True,pass
D01-S001-00217,True,True,pass
D01-S001-00218,True,True,pass
D01-S001-00219,True,True,pass
D01-S001-00220,True,True,pass
D01-S001-00221,True,True,pass
D01-S001-00222,True,True,pass
D01-S001-00223,True,True,pass
D01-S001-00224,True,True,pass
D01-S001-00225,True,True,pass
D01-S001-00226,True,True,pass
D01-S001-00227,True,True,pass
D01-S001-00228,True,True,pass
D01-S001-00229,True,True,pass
D01-S001-00230,True,True,pass
D01-S001-00231,True,True,pass
D01-S001-00232,True,True,pass
D01-S001-00233,True,True,pass
D01-S001-00234,True,True,pass
D01-S001-00235,True,True,pass
D01-S001-00236,True,True,pass
D01-S001-00237,True,True,pass
D01-S001-00238,True,True,pass
D01-S001-00239,True,True,pass
D01-S001-00240,True,True,pass
D01-S001-00241,True,True,pass
D01-S001-00242,True,True,pass
D01-S001-00243,True,True,pass
D01-S001-00244,True,True,pass
D01-S001-00245,True,True,pass
D01-S001-00246,True,True,pass
D01-S001-00247,True,True,pass
D01-S001-00248,True,True,pass
D01-S001-00249,True,True,pass
D01-S001-00250,True,True,pass
D01-S001-00251,True,True,pass
D01-S001-00252,True,True,pass
D01-S001-00253,True,True,pass
D01-S001-00254,True,True,pass
D01-S001-00255,True,True,pass
D01-S001-00256,True,True,pass
D01-S001-00257,True,True,pass
D01-S001-00258,True,True,pass
D01-S001-00259,True,True,pass
D01-S001-00260,True,True,pass
D01-S001-00261,True,True,pass
D01-S001-00262,True,True,pass
D01-S001-00263,True,True,pass
D01-S001-00264,True,True,pass
D01-S001-00265,True,True,pass
D01-S001-00266,True,True,pass
D01-S001-00267,True,True,pass
D01-S001-00268,True,True,pass
D01-S001-00269,True,True,pass
D01-S001-00270,True,True,pass
D01-S001-00271,True,True,pass
D01-S001-00272,True,True,pass
D01-S001-00273,True,True,pass
D01-S001-00274,True,True,pass
D01-S001-00275,True,True,pass
D01-S001-00276,True,True,pass
D01-S001-00277,True,True,pass
D01-S001-00278,True,True,pass
D01-S001-00279,True,True,pass
D01-S001-00280,True,True,pass
D01-S001-00281,True,True,pass
D01-S001-00282,True,True,pass
D01-S001-00283,True,True,pass
D01-S001-00284,True,True,pass
D01-S001-00285,True,True,pass
D01-S001-00286,True,True,pass
D01-S001-00287,True,True,pass
D01-S001-00288,True,True,pass
D01-S001-00289,True,True,pass
D01-S001-00290,True,True,pass
D01-S001-00291,True,True,pass
D01-S001-00292,True,True,pass
D01-S001-00293,True,True,pass
D01-S001-00294,True,True,pass
D01-S001-00295,True,True,pass
D01-S001-00296,True,True,pass
D01-S001-00297,True,True,pass
D01-S001-00298,True,True,pass
D01-S001-00299,True,True,pass
D01-S001-00300,True,True,pass
D01-S001-00301,True,True,pass
D01-S001-00302,True,True,pass
D01-S001-00303,True,True,pass
D01-S001-00304,True,True,pass
D01-S001-00305,True,True,pass
D01-S001-00306,True,True,pass
D01-S001-00307,True,True,pass
D01-S001-00308,True,True,pass
D01-S001-00309,True,True,pass
D01-S001-00310,True,True,pass
D01-S001-00311,True,True,pass
D01-S001-00312,True,True,pass
D01-S001-00313,True,True,pass
D01-S001-00314,True,True,pass
D01-S001-00315,True,True,pass
D01-S001-00316,True,True,pass
D01-S001-00317,True,True,pass
D01-S001-00318,True,True,pass
D01-S001-00319,True,True,pass
D01-S001-00320,True,True,pass
D01-S001-00321,True,True,pass
D01-S001-00322,True,True,pass
D01-S001-00323,True,True,pass
D01-S001-00324,True,True,pass
D01-S001-00325,True,True,pass
D01-S001-00326,True,True,pass
D01-S001-00327,True,True,pass
D01-S001-00328,True,True,pass
D01-S001-00329,True,True,pass
D01-S001-00330,True,True,pass
D01-S001-00331,True,True,pass
D01-S001-00332,True,True,pass
D01-S001-00333,True,True,pass
D01-S001-00334,True,True,pass
D01-S001-00335,True,True,pass
D01-S001-00336,True,True,pass
D01-S001-00337,True,True,pass
D01-S001-00338,True,True,pass
D01-S001-00339,True,True,pass
D01-S001-00340,True,True,pass
D01-S001-00341,True,True,pass
D01-S001-00342,True,True,pass
D01-S001-00343,True,True,pass
D01-S001-00344,True,True,pass
D01-S001-00345,True,True,pass
D01-S001-00346,True,True,pass
D01-S001-00347,True,True,pass
D01-S001-00348,True,True,pass
D01-S001-00349,True,True,pass
D01-S001-00350,True,True,pass
D01-S001-00351,True,True,pass
D01-S001-00352,True,True,pass
D01-S001-00353,True,True,pass
D01-S001-00354,True,True,pass
D01-S001-00355,True,True,pass
D01-S001-00356,True,True,pass
D01-S001-00357,True,True,pass
D01-S001-00358,True,True,pass
D01-S001-00359,True,True,pass
D01-S001-00360,True,True,pass
D01-S001-00361,True,True,pass
D01-S001-00362,True,True,pass
D01-S001-00363,True,True,pass
D01-S001-00364,True,True,pass
D01-S001-00365,True,True,pass
D01-S001-00366,True,True,pass
D01-S001-00367,True,True,pass
D01-S001-00368,True,True,pass
D01-S001-00369,True,True,pass
D01-S001-00370,True,True,pass
D01-S001-00371,True,True,pass
D01-S001-00372,True,True,pass
D01-S001-00373,True,True,pass
D01-S001-00374,True,True,pass
D01-S001-00375,True,True,pass
D01-S001-00376,True,True,pass
D01-S001-00377,True,True,pass
D01-S001-00378,True,True,pass
D01-S001-00379,True,True,pass
D01-S001-00380,True,True,pass
D01-S001-00381,True,True,pass
D01-S001-00382,True,True,pass
D01-S001-00383,True,True,pass
D01-S001-00384,True,True,pass
D01-S001-00385,True,True,pass
D01-S001-00386,True,True,pass
D01-S001-00387,True,True,pass
D01-S001-00388,True,True,pass
D01-S001-00389,True,True,pass
D01-S001-00390,True,True,pass
D01-S001-00391,True,True,pass
D01-S001-00392,True,True,pass
D01-S001-00393,True,True,pass
D01-S001-00394,True,True,pass
D01-S001-00395,True,True,pass
D01-S001-00396,True,True,pass
D01-S001-00397,True,True,pass
D01-S001-00398,True,True,pass
D01-S001-00399,True,True,pass
D01-S001-00400,True,True,pass
D01-S001-00401,True,True,pass
D01-S001-00402,True,True,pass
D01-S001-00403,True,True,pass
D01-S001-00404,True,True,pass
D01-S001-00405,True,True,pass
D01-S001-00406,True,True,pass
D01-S001-00407,True,True,pass
D01-S001-00408,True,True,pass
D01-S001-00409,True,True,pass
D01-S001-00410,True,True,pass
D01-S001-00411,True,True,pass
D01-S001-00412,True,True,pass
D01-S001-00413,True,True,pass
D01-S001-00414,True,True,pass
D01-S001-00415,True,True,pass
D01-S001-00416,True,True,pass
D01-S001-00417,True,True,pass
D01-S001-00418,True,True,pass
D01-S001-00419,True,True,pass
D01-S001-00420,True,True,pass
D01-S001-00421,True,True,pass
D01-S001-00422,True,True,pass
D01-S001-00423,True,True,pass
D01-S001-00424,True,True,pass
D01-S001-00425,True,True,pass
D01-S001-00426,True,True,pass
D01-S001-00427,True,True,pass
D01-S001-00428,True,True,pass
D01-S001-00429,True,True,pass
D01-S001-00430,True,True,pass
D01-S001-00431,True,True,pass
D01-S001-00432,True,True,pass
D01-S001-00433,True,True,pass
D01-S001-00434,True,True,pass
D01-S001-00435,True,True,pass
D01-S001-00436,True,True,pass
D01-S001-00437,True,True,pass
D01-S001-00438,True,True,pass
D01-S001-00439,True,True,pass
D01-S001-00440,True,True,pass
D01-S001-00441,True,True,pass
D01-S001-00442,True,True,pass
D01-S001-00443,True,True,pass
D01-S001-00444,True,True,pass
D01-S001-00445,True,True,pass
D01-S001-00446,True,True,pass
D01-S001-00447,True,True,pass
D01-S001-00448,True,True,pass
D01-S001-00449,True,True,pass
D01-S001-00450,True,True,pass
D01-S001-00451,True,True,pass
D01-S001-00452,True,True,pass
D01-S001-00453,True,True,pass
D01-S001-00454,True,True,pass
D01-S001-00455,True,True,pass
D01-S001-00456,True,True,pass
D01-S001-00457,True,True,pass
D01-S001-00458,True,True,pass
D01-S001-00459,True,True,pass
D01-S001-00460,True,True,pass
D01-S001-00461,True,True,pass
D01-S001-00462,True,True,pass
D01-S001-00463,True,True,pass
D01-S001-00464,True,True,pass
D01-S001-00465,True,True,pass
D01-S001-00466,True,True,pass
D01-S001-00467,True,True,pass
D01-S001-00468,True,True,pass
D01-S001-00469,True,True,pass
D01-S001-00470,True,True,pass
D01-S001-00471,True,True,pass
D01-S001-00472,True,True,pass
D01-S001-00473,True,True,pass
D01-S001-00474,True,True,pass
D01-S001-00475,True,True,pass
D01-S001-00476,True,True,pass
D01-S001-00477,True,True,pass
D01-S001-00478,True,True,pass
D01-S001-00479,True,True,pass
D01-S001-00480,True,True,pass
D01-S001-00481,True,True,pass
D01-S001-00482,True,True,pass
D01-S001-00483,True,True,pass
D01-S001-00484,True,True,pass
D01-S001-00485,True,True,pass
D01-S001-00486,True,True,pass
D01-S001-00487,True,True,pass
D01-S001-00488,True,True,pass
D01-S001-00489,True,True,pass
D01-S001-00490,True,True,pass
D01-S001-00491,True,True,pass
D01-S001-00492,True,True,pass
D01-S001-00493,True,True,pass
D01-S001-00494,True,True,pass
D01-S001-00495,True,True,pass
D01-S001-00496,True,True,pass
D01-S001-00497,True,True,pass
D01-S001-00498,True,True,pass
D01-S001-00499,True,True,pass
D01-S001-00500,True,True,pass
D01-S001-00501,True,True,pass
D01-S001-00502,True,True,pass
D01-S001-00503,True,True,pass
D01-S001-00504,True,True,pass
D01-S001-00505,True,True,pass
D01-S001-00506,True,True,pass
D01-S001-00507,True,True,pass
D01-S001-00508,True,True,pass
D01-S001-00509,True,True,pass
D01-S001-00510,True,True,pass
D01-S001-00511,True,True,pass
D01-S001-00512,True,True,pass
D01-S001-00513,True,True,pass
D01-S001-00514,True,True,pass
D01-S001-00515,True,True,pass
D01-S001-00516,True,True,pass
D01-S001-00517,True,True,pass
D01-S001-00518,True,True,pass
D01-S001-00519,True,True,pass
D01-S001-00520,True,True,pass
D01-S001-00521,True,True,pass
D01-S001-00522,True,True,pass
D01-S001-00523,True,True,pass
D01-S001-00524,True,True,pass
D01-S001-00525,True,True,pass
D01-S001-00526,True,True,pass
D01-S001-00527,True,True,pass
D01-S001-00528,True,True,pass
D01-S001-00529,True,True,pass
D01-S001-00530,True,True,pass
D01-S001-00531,True,True,pass
D01-S001-00532,True,True,pass
D01-S001-00533,True,True,pass
D01-S001-00534,True,True,pass
D01-S001-00535,True,True,pass
D01-S001-00536,True,True,pass
D01-S001-00537,True,True,pass
D01-S001-00538,True,True,pass
D01-S001-00539,True,True,pass
D01-S001-00540,True,True,pass
D01-S001-00541,True,True,pass
D01-S001-00542,True,True,pass
D01-S001-00543,True,True,pass
D01-S001-00544,True,True,pass
D01-S001-00545,True,True,pass
D01-S001-00546,True,True,pass
D01-S001-00547,True,True,pass
D01-S001-00548,True,True,pass
D01-S001-00549,True,True,pass
D01-S001-00550,True,True,pass
D01-S001-00551,True,True,pass
D01-S001-00552,True,True,pass
D01-S001-00553,True,True,pass
D01-S001-00554,True,True,pass
D01-S001-00555,True,True,pass
D01-S001-00556,True,True,pass
D01-S001-00557,True,True,pass
D01-S001-00558,True,True,pass
D01-S001-00559,True,True,pass
D01-S001-00560,True,True,pass
D01-S001-00561,True,True,pass
D01-S001-00562,True,True,pass
D01-S001-00563,True,True,pass
D01-S001-00564,True,True,pass
D01-S001-00565,True,True,pass
D01-S001-00566,True,True,pass
D01-S001-00567,True,True,pass
D01-S001-00568,True,True,pass
D01-S001-00569,True,True,pass
D01-S001-00570,True,True,pass
D01-S001-00571,True,True,pass
D01-S001-00572,True,True,pass
D01-S001-00573,True,True,pass
D01-S001-00574,True,True,pass
D01-S001-00575,True,True,pass
D01-S001-00576,True,True,pass
D01-S001-00577,True,True,pass
D01-S001-00578,True,True,pass
D01-S001-00579,True,True,pass
D01-S001-00580,True,True,pass
D01-S001-00581,True,True,pass
D01-S001-00582,True,True,pass
D01-S001-00583,True,True,pass
D01-S001-00584,True,True,pass
D01-S001-00585,True,True,pass
D01-S001-00586,True,True,pass
D01-S001-00587,True,True,pass
D01-S001-00588,True,True,pass
D01-S001-00589,True,True,pass
D01-S001-00590,True,True,pass
D01-S001-00591,True,True,pass
D01-S001-00592,True,True,pass
D01-S001-00593,True,True,pass
D01-S001-00594,True,True,pass
D01-S001-00595,True,True,pass
D01-S001-00596,True,True,pass
D01-S001-00597,True,True,pass
D01-S001-00598,True,True,pass
D01-S001-00599,True,True,pass
D01-S001-00600,True,True,pass
D01-S001-00601,True,True,pass
D01-S001-00602,True,True,pass
D01-S001-00603,True,True,pass
D01-S001-00604,True,True,pass
D01-S001-00605,True,True,pass
D01-S001-00606,True,True,pass
D01-S001-00607,True,True,pass
D01-S001-00608,True,True,pass
D01-S001-00609,True,True,pass
D01-S001-00610,True,True,pass
D01-S001-00611,True,True,pass
D01-S001-00612,True,True,pass
D01-S001-00613,True,True,pass
D01-S001-00614,True,True,pass
D01-S001-00615,True,True,pass
D01-S001-00616,True,True,pass
D01-S001-00617,True,True,pass
D01-S001-00618,True,True,pass
D01-S001-00619,True,True,pass
D01-S001-00620,True,True,pass
D01-S001-00621,True,True,pass
D01-S001-00622,True,True,pass
D01-S001-00623,True,True,pass
D01-S001-00624,True,True,pass
D01-S001-00625,True,True,pass
D01-S001-00626,True,True,pass
D01-S001-00627,True,True,pass
D01-S001-00628,True,True,pass
D01-S001-00629,True,True,pass
D01-S001-00630,True,True,pass
D01-S001-00631,True,True,pass
D01-S001-00632,True,True,pass
D01-S001-00633,True,True,pass
D01-S001-00634,True,True,pass
D01-S001-00635,True,True,pass
D01-S001-00636,True,True,pass
D01-S001-00637,True,True,pass
D01-S001-00638,True,True,pass
D01-S001-00639,True,True,pass
D01-S001-00640,True,True,pass
D01-S001-00641,True,True,pass
D01-S001-00642,True,True,pass
D01-S001-00643,True,True,pass
D01-S001-00644,True,True,pass
D01-S001-00645,True,True,pass
D01-S001-00646,True,True,pass
D01-S001-00647,True,True,pass
D01-S001-00648,True,True,pass
D01-S001-00649,True,True,pass
D01-S001-00650,True,True,pass
D01-S001-00651,True,True,pass
D01-S001-00652,True,True,pass
D01-S001-00653,True,True,pass
D01-S001-00654,True,True,pass
D01-S001-00655,True,True,pass
D01-S001-00656,True,True,pass
D01-S001-00657,True,True,pass
D01-S001-00658,True,True,pass
D01-S001-00659,True,True,pass
D01-S001-00660,True,True,pass
D01-S001-00661,True,True,pass
D01-S001-00662,True,True,pass
D01-S001-00663,True,True,pass
D01-S001-00664,True,True,pass
D01-S001-00665,True,True,pass
D01-S001-00666,True,True,pass
D01-S001-00667,True,True,pass
D01-S001-00668,True,True,pass
D01-S001-00669,True,True,pass
D01-S001-00670,True,True,pass
D01-S001-00671,True,True,pass
D01-S001-00672,True,True,pass
D01-S001-00673,True,True,pass
D01-S001-00674,True,True,pass
D01-S001-00675,True,True,pass
D01-S001-00676,True,True,pass
D01-S001-00677,True,True,pass
D01-S001-00678,True,True,pass
D01-S001-00679,True,True,pass
D01-S001-00680,True,True,pass
D01-S001-00681,True,True,pass
D01-S001-00682,True,True,pass
D01-S001-00683,True,True,pass
D01-S001-00684,True,True,pass
D01-S001-00685,True,True,pass
D01-S001-00686,True,True,pass
D01-S001-00687,True,True,pass
D01-S001-00688,True,True,pass
D01-S001-00689,True,True,pass
D01-S001-00690,True,True,pass
D01-S001-00691,True,True,pass
D01-S001-00692,True,True,pass
D01-S001-00693,True,True,pass
D01-S001-00694,True,True,pass
D01-S001-00695,True,True,pass
D01-S001-00696,True,True,pass
D01-S001-00697,True,True,pass
D01-S001-00698,True,True,pass
D01-S001-00699,True,True,pass
D01-S001-00700,True,True,pass
D01-S001-00701,True,True,pass
D01-S001-00702,True,True,pass
D01-S001-00703,True,True,pass
D01-S001-00704,True,True,pass
D01-S001-00705,True,True,pass
D01-S001-00706,True,True,pass
D01-S001-00707,True,True,pass
D01-S001-00708,True,True,pass
D01-S001-00709,True,True,pass
D01-S001-00710,True,True,pass
D01-S001-00711,True,True,pass
D01-S001-00712,True,True,pass
D01-S001-00713,True,True,pass
D01-S001-00714,True,True,pass
D01-S001-00715,True,True,pass
D01-S001-00716,True,True,pass
D01-S001-00717,True,True,pass
D01-S001-00718,True,True,pass
D01-S001-00719,True,True,pass
D01-S001-00720,True,True,pass
D01-S001-00721,True,True,pass
D01-S001-00722,True,True,pass
D01-S001-00723,True,True,pass
D01-S001-00724,True,True,pass
D01-S001-00725,True,True,pass
D01-S001-00726,True,True,pass
D01-S001-00727,True,True,pass
D01-S001-00728,True,True,pass
D01-S001-00729,True,True,pass
D01-S001-00730,True,True,pass
D01-S001-00731,True,True,pass
D01-S001-00732,True,True,pass
D01-S001-00733,True,True,pass
D01-S001-00734,True,True,pass
D01-S001-00735,True,True,pass
D01-S001-00736,True,True,pass
D01-S001-00737,True,True,pass
D01-S001-00738,True,True,pass
D01-S001-00739,True,True,pass
D01-S001-00740,True,True,pass
D01-S001-00741,True,True,pass
D01-S001-00742,True,True,pass
D01-S001-00743,True,True,pass
D01-S001-00744,True,True,pass
D01-S001-00745,True,True,pass
D01-S001-00746,True,True,pass
D01-S001-00747,True,True,pass
D01-S001-00748,True,True,pass
D01-S001-00749,True,True,pass
D01-S001-00750,True,True,pass
D01-S001-00751,True,True,pass
D01-S001-00752,True,True,pass
D01-S001-00753,True,True,pass
D01-S001-00754,True,True,pass
D01-S001-00755,True,True,pass
D01-S001-00756,True,True,pass
D01-S001-00757,True,True,pass
D01-S001-00758,True,True,pass
D01-S001-00759,True,True,pass
D01-S001-00760,True,True,pass
D01-S001-00761,True,True,pass
D01-S001-00762,True,True,pass
D01-S001-00763,True,True,pass
D01-S001-00764,True,True,pass
D01-S001-00765,True,True,pass
D01-S001-00766,True,True,pass
D01-S001-00767,True,True,pass
D01-S001-00768,True,True,pass
D01-S001-00769,True,True,pass
D01-S001-00770,True,True,pass
D01-S001-00771,True,True,pass
D01-S001-00772,True,True,pass
D01-S001-00773,True,True,pass
D01-S001-00774,True,True,pass
D01-S001-00775,True,True,pass
D01-S001-00776,True,True,pass
D01-S001-00777,True,True,pass
D01-S001-00778,True,True,pass
D01-S001-00779,True,True,pass
D01-S001-00780,True,True,pass
D01-S001-00781,True,True,pass
D01-S001-00782,True,True,pass
D01-S001-00783,True,True,pass
D01-S001-00784,True,True,pass
D01-S001-00785,True,True,pass
D01-S001-00786,True,True,pass
D01-S001-00787,True,True,pass
D01-S001-00788,True,True,pass
D01-S001-00789,True,True,pass
D01-S001-00790,True,True,pass
D01-S001-00791,True,True,pass
D01-S001-00792,True,True,pass
D01-S001-00793,True,True,pass
D01-S001-00794,True,True,pass
D01-S001-00795,True,True,pass
D01-S001-00796,True,True,pass
D01-S001-00797,True,True,pass
D01-S001-00798,True,True,pass
D01-S001-00799,True,True,pass
D01-S001-00800,True,True,pass
D01-S001-00801,True,True,pass
D01-S001-00802,True,True,pass
D01-S001-00803,True,True,pass
D01-S001-00804,True,True,pass
D01-S001-00805,True,True,pass
D01-S001-00806,True,True,pass
D01-S001-00807,True,True,pass
D01-S001-00808,True,True,pass
D01-S001-00809,True,True,pass
D01-S001-00810,True,True,pass
D01-S001-00811,True,True,pass
D01-S001-00812,True,True,pass
D01-S001-00813,True,True,pass
D01-S001-00814,True,True,pass
D01-S001-00815,True,True,pass
D01-S001-00816,True,True,pass
D01-S001-00817,True,True,pass
D01-S001-00818,True,True,pass
D01-S001-00819,True,True,pass
D01-S001-00820,True,True,pass
D01-S001-00821,True,True,pass
D01-S001-00822,True,True,pass
D01-S001-00823,True,True,pass
D01-S001-00824,True,True,pass
D01-S001-00825,True,True,pass
D01-S001-00826,True,True,pass
D01-S001-00827,True,True,pass
D01-S001-00828,True,True,pass
D01-S001-00829,True,True,pass
D01-S001-00830,True,True,pass
D01-S001-00831,True,True,pass
D01-S001-00832,True,True,pass
D01-S001-00833,True,True,pass
D01-S001-00834,True,True,pass
D01-S001-00835,True,True,pass
D01-S001-00836,True,True,pass
D01-S001-00837,True,True,pass
D01-S001-00838,True,True,pass
D01-S001-00839,True,True,pass
D01-S001-00840,True,True,pass
D01-S001-00841,True,True,pass
D01-S001-00842,True,True,pass
D01-S001-00843,True,True,pass
D01-S001-00844,True,True,pass
D01-S001-00845,True,True,pass
D01-S001-00846,True,True,pass
D01-S001-00847,True,True,pass
D01-S001-00848,True,True,pass
D01-S001-00849,True,True,pass
D01-S001-00850,True,True,pass
D01-S001-00851,True,True,pass
D01-S001-00852,True,True,pass
D01-S001-00853,True,True,pass
D01-S001-00854,True,True,pass
D01-S001-00855,True,True,pass
D01-S001-00856,True,True,pass
D01-S001-00857,True,True,pass
D01-S001-00858,True,True,pass
D01-S001-00859,True,True,pass
D01-S001-00860,True,True,pass
D01-S001-00861,True,True,pass
D01-S001-00862,True,True,pass
D01-S001-00863,True,True,pass
D01-S001-00864,True,True,pass
D01-S001-00865,True,True,pass
D01-S001-00866,True,True,pass
D01-S001-00867,True,True,pass
D01-S001-00868,True,True,pass
D01-S001-00869,True,True,pass
D01-S001-00870,True,True,pass
D01-S001-00871,True,True,pass
D01-S001-00872,True,True,pass
